id,Город дистрибьютора,Торг_точка_грязная,Торг_точка_грязная_адрес,outlet_clean_id
6649,Ростов-на-Дону,Конох А.С.,г.Азов ул.Ленина 54 А,0
6650,Ростов-на-Дону,Корниенко С.А. ИП,"346812, Ростовская обл., Мясниковский р-н,с.Крым, ул.Большесальская,10",1789
6651,Ростов-на-Дону,Корниенко С.А. ИП,-,745
6652,Ростов-на-Дону,Коробейникова Е. ИП,г.Ростов-на-Дону ул.Краснодарская 143/2,1790
6653,Ростов-на-Дону,Коробейникова Е ИП,-,1791
6654,Ростов-на-Дону,Коробейникова Е. ИП,-,1791
6655,Ростов-на-Дону,Королева Татьяна Сергеевна ИП,-,0
6656,Ростов-на-Дону,Король А Б ИП,-,1792
6657,Ростов-на-Дону,Корчагин Ю.А.,Нагибина 34,1793
6658,Ростов-на-Дону,Костин М.С. ИП,-,1794
6659,Ростов-на-Дону,Костюк И Т ИП,-,1795
6660,Ростов-на-Дону,Костюк И.Т. ИП,"г.Ростов-на-Дону, ул.Буйнакская, 32",0
6661,Ростов-на-Дону,Кочергина Н.В. ИП,-,1796
6662,Ростов-на-Дону,Кочерян Армен,-,1797
6663,Ростов-на-Дону,Кочерян Армен,Евдокимова 33 а,1797
6664,Ростов-на-Дону,Кузмичева Н.А.,-,0
6665,Ростов-на-Дону,Кузмичева Н.А.,"г.Белая Калитва,ул.Энгелься 15/13",0
6666,Ростов-на-Дону,Кузянова С.В. ИП,-,0
6667,Ростов-на-Дону,Кузянова С.В. ИП,"г.Азов, Маяковского,48",0
6668,Ростов-на-Дону,Куликова С Н,-,1798
6669,Ростов-на-Дону,Кунижев Б.М. ИП,"г.Азов, Петровский б-р, 20/угол Ленина",0
6670,Ростов-на-Дону,Лавр ООО (Комс),-,1799
6671,Ростов-на-Дону,Лада ООО,Стачки 12,0
6672,Ростов-на-Дону,Лебедьков Г В ИП,-,1800
6673,Ростов-на-Дону,Лебедьков Г.В. ИП,-,1800
6674,Ростов-на-Дону,Левчук А.В. ИП (Азов),-,0
6675,Ростов-на-Дону,Ленокс ООО,-,1801
6676,Ростов-на-Дону,Ленокс ООО,"347540 Ростовская обл.г.Пролетарск, пр.50 лет Октября 82/Первомайская",1801
6677,Ростов-на-Дону,Леонян Э.Р. ИП,"г.Ростов-на-Дону, ул.Доватора 140 а",0
6678,Ростов-на-Дону,Леонян Э Р ИП,-,794
6679,Ростов-на-Дону,Леонян Э.Р. ИП,-,794
6680,Ростов-на-Дону,Лесовая Г.В. ИП,-,796
6681,Ростов-на-Дону,Ливадия ООО,"г.Ростов-на-Дону, ул.Комунаров 33 г",0
6682,Ростов-на-Дону,Ливадия ООО,-,1802
6683,Ростов-на-Дону,Ливадия ООО,-,1802
6684,Ростов-на-Дону,Ложников И А ИП,-,810
6685,Ростов-на-Дону,Лосев К А ИП,-,811
6686,Ростов-на-Дону,Лосев К.А. ИП,-,811
6687,Ростов-на-Дону,Лосев К.А. ИП,Белая Калитва ул. Атаева 9а,1803
6688,Ростов-на-Дону,Лукиенко Алиса Низамиевна ИП,-,1804
6689,Ростов-на-Дону,Лындюк А А ИП,-,1805
6690,Ростов-на-Дону,Лындюк А.А. ИП,-,1805
6691,Ростов-на-Дону,Лындюк А.А. ИП,Портовая 10,1805
6692,Ростов-на-Дону,ИП Любимов А Н г Новошахтинск ул Ленинградская,-,0
6693,Ростов-на-Дону,ЛюСан ООО,-,0
6694,Ростов-на-Дону,ЛюСан ООО,"г.Таганрог,ул.Кузнечная 11, корпус 2, кабинет 101",1806
6695,Ростов-на-Дону,ЛюСан ООО (Журавлева),-,1807
6696,Ростов-на-Дону,Ляшенко В Б ИП,-,0
6697,Ростов-на-Дону,Магнат ООО,-,832
6698,Ростов-на-Дону,Мадатян С.С. ИП,-,1808
6699,Ростов-на-Дону,Мадатян С С ИП,-,1808
6700,Ростов-на-Дону,Мадатян С.С. ИП,г.Ростов-на-Дону ул.Вяземцева 58,1808
6701,Ростов-на-Дону,Майковский А.В. ИП Магазин,"347630, Ростовская обл., г. Сальск, ул. Станиславского 95",1809
6702,Ростов-на-Дону,Майковский А В ИП Магазин,-,1810
6703,Ростов-на-Дону,Майковский А.В. ИП Магазин,-,1810
6704,Ростов-на-Дону,Максимум ООО (Халтуринский),Халтуринский 22,1811
6705,Ростов-на-Дону,Малахов О.Г.,"г.Азов, Черноморский, 77 Б",1812
6706,Ростов-на-Дону,Малыхин А В ИП,-,225
6707,Ростов-на-Дону,Малыхин А.В. ИП,-,225
6708,Ростов-на-Дону,Малыхин А.В. ИП,"346880 г. Батайск, ул. Ленина,199 а",1813
6709,Ростов-на-Дону,Малышева С.Н.,г.Азов.пр.Черноморский 77\2,1814
6710,Ростов-на-Дону,Мальков С.,г.Азов.ул.Московская 59,1815
6711,Ростов-на-Дону,Малюк Т.П. ИП,Стачки 212,0
6712,Ростов-на-Дону,Мамедов В. ИП,-,1816
6713,Ростов-на-Дону,Манькович О.Б. ИП (Врубовая 36),Ростов-на-Дону Врубовая 36,0
6714,Ростов-на-Дону,Марданян Н.Л. ИП,"350072, г.Краснодар , ул. Ростовское шоссе, 25/2",1818
6715,Ростов-на-Дону,Марданян Н.Л. ИП,-,1818
6716,Ростов-на-Дону,Марианна ООО,-,850
6717,Ростов-на-Дону,Марианна ООО,Газетный 22,1819
6718,Ростов-на-Дону,Мартиросян А М,-,1820
6719,Ростов-на-Дону,Мартиросян А.М.,"г.Аксай Вартанова,12/б",1821
6720,Ростов-на-Дону,Марцинюк Н В,-,1822
6721,Ростов-на-Дону,Марцинюк Н.В.,"г.Аксай, ул. Садовая, 8 А, м-н ""Деликатес""",0
6722,Ростов-на-Дону,Марцинюк Н В (Врубовая),-,1823
6723,Ростов-на-Дону,Марцинюк Н.В.(Врубовая),г.Ростов-на-Дону ул.Врубовая 36,1823
6724,Ростов-на-Дону,Марченко Е В ИП,-,0
6725,Ростов-на-Дону,Марченко Е.В. ИП,-,0
6726,Ростов-на-Дону,Марчуков А А ИП,-,0
6727,Ростов-на-Дону,Матвеево-Курганское райпо,Матвеево-Курганск,1824
6728,Ростов-на-Дону,Меркурий-2011 ООО,-,1825
6729,Ростов-на-Дону,Меркурий ООО (Аксай),-,1826
6730,Ростов-на-Дону,Меркурий ООО (Аксай),-,1826
6731,Ростов-на-Дону,Меркурий ООО (Аксай),Аксай Садовая11,1826
6732,Ростов-на-Дону,Микинян К С ИП,-,140
6733,Ростов-на-Дону,Микинян К.С. ИП,-,140
6734,Ростов-на-Дону,Микинян К.С. ИП,"г.Каменск-Шахтинский, Центральный р-к (моб.8-928-166-99-70)",1827
6735,Ростов-на-Дону,Минасян К.И. ИП,"347800, Ростовская обл., г. Каменск-Шахтинский, ул. Героев Пионеров д. 25",1828
6736,Ростов-на-Дону,Мирзабеков Г. (старый),г.Ростов-на-Дону ул.Врубовая 36,1829
6737,Ростов-на-Дону,Миск С ООО,"Азовский р-он, с.Кагальник, ул.Кирова 34",1830
6738,Ростов-на-Дону,Митрохина Л Н ИП,-,1831
6739,Ростов-на-Дону,Митрохина Л.Н. ИП,-,1831
6740,Ростов-на-Дону,Митрохина Л.Н. ИП,г.Ростов-на-Дону ул.Можайская 155,1831
6741,Ростов-на-Дону,Мовсесян Э.С.,г.Морозовск ул. Ворошилова 364/2,1832
6742,Ростов-на-Дону,Морозов В.Д. ИП,-,1833
6743,Ростов-на-Дону,Морозов М.Е. ИП (Азов),-,1834
6744,Ростов-на-Дону,МУП КШП Мира 16 г Донецк /ШКОЛЫ/,-,0
6745,Ростов-на-Дону,Надежда ООО,"347805, Ростовская обл.,г. Каменск-Шахтинский,пр.К.Маркса 54Б",0
6746,Ростов-на-Дону,Надежда ООО,-,906
6747,Ростов-на-Дону,Нардеков Г.О. ИП,"Ст.Вешенская,Шолох. р-н,Ул.Никулина,63",0
6748,Ростов-на-Дону,Нежнянский М ИП,г.Ростов-на-Дону ул.Вятская 47/1 пав. №33,1835
6749,Ростов-на-Дону,Нейжмак А.И. ИП,г.Ростов на Дону пер. Буденновский 12,0
6750,Ростов-на-Дону,Никитин М.А. ИП,-,1836
6751,Ростов-на-Дону,Никитин М.А. ИП,"г.Таганрог, ул. МЕНДЕЛЕЕВА 117/3",1836
6752,Ростов-на-Дону,Новикова М С ИП,-,1837
6753,Ростов-на-Дону,Новикова М.С. ИП,-,1837
6754,Ростов-на-Дону,Новикова М.С. ИП,"г. Таганрог,пер.Гоголевский, 29 А",1838
6755,Ростов-на-Дону,Нунушян Г.М. ИП,"п.Каменоломни,ул.Дзержинского 2 б",1839
6756,Ростов-на-Дону,Одарюк А Н ИП,-,1840
6757,Ростов-на-Дону,Одарюк А.Н. ИП,-,1840
6758,Ростов-на-Дону,Одарюк А.Н. ИП,"г.Ростов-на-Дону, ул.Новолесная 6\3",0
6759,Ростов-на-Дону,Ожгибесова К.М. ИП (Привокзальная),Привокзальная 1,1841
6760,Ростов-на-Дону,Ожгибесова С.Л. ИП (Вкусняшка),-,1842
6761,Ростов-на-Дону,Ожгибесова С.Л. ИП (Вкусняшка),"344004,г.Ростов-на-Дону, ул. Рабочая пл., 1 оф. 29",1842
6762,Ростов-на-Дону,Олибаш А В ИП,-,1843
6763,Ростов-на-Дону,Олибаш А.В. ИП,-,1843
6764,Ростов-на-Дону,Омельяненко В В ИП,-,1844
6765,Ростов-на-Дону,Омельяненко В.В. ИП,Стартовая 12,0
6766,Ростов-на-Дону,Омельяненко В.В. ИП (Серафимовича),Серафимовича 4,1845
6767,Ростов-на-Дону,"ООО ""Альянс"" мкр Лиховской ул Железнодорожная 25",-,0
6768,Ростов-на-Дону,"ООО ""ГАНГУТ"" г Зверево угол Чапаевский/Пионерский",-,0
6769,Ростов-на-Дону,"ООО ""Дельта"" г Новошахтинск ул Будёного 13-б",-,0
6770,Ростов-на-Дону,"ООО ""ДЭМ"" х Яново-Грушевский ул Кооперативная 1-А",-,1846
6771,Ростов-на-Дону,"ООО ""Лена"" г Шахты ул Хабарова 31а",-,1847
6772,Ростов-на-Дону,"ООО ""Лилия"" Сафонова А В г Новошахтинск ул Комсомольская 30",-,1848
6773,Ростов-на-Дону,"ООО ""Лилия"" маг ""Счастье"" г Новошахтинск ул Комсомольская 31",-,0
6774,Ростов-на-Дону,"ООО ""Меркурий"" маг ""Этюд"" г Каменск-Шахтинский ул Луначарского 6а маш завод",-,0
6775,Ростов-на-Дону,"ООО ""Ника-К"" г Каменск-Шахтинский х Абрамовка ул Ленина 3Б",-,0
6776,Ростов-на-Дону,"ООО ""ОРП-Ростов"" х Авилов ул Центральная 2",-,0
6777,Ростов-на-Дону,"ООО ""Офелия"" № 137 г Новошахтинск ул Коненкова 16",-,0
6778,Ростов-на-Дону,ПЕПИНО ООО,-,1849
6779,Ростов-на-Дону,"ООО ""Пионер"" г Каменск-Шахтинский ул Белорусская 38 маг ""Копейка""",-,0
6780,Ростов-на-Дону,ПРОФИТ ООО,-,1850
6781,Ростов-на-Дону,"ООО ""РЭД"" г Гуково ул Красная Горка д 2Ж",-,1851
6782,Ростов-на-Дону,"ООО ""РЭД"" г Гуково ул Шахтерская 46",-,1852
6783,Ростов-на-Дону,"ООО ""СМАК"" ""Шашлычный двор у Миши""",-,1853
6784,Ростов-на-Дону,Тамара ООО(Евдокимова),-,1854
6785,Ростов-на-Дону,"ООО ""Татьяна"" маг "" Исток""",-,1855
6786,Ростов-на-Дону,"ООО ""ТС""",-,1856
6787,Ростов-на-Дону,"ООО ""ТС""","Ростов на Дону, ул. Вильнюсская, д. 4, кв. 3",1856
6788,Ростов-на-Дону,"ООО ""Фишмак"" г Гуково ул К Маркса д 49б",-,1857
6789,Ростов-на-Дону,"ООО ""ШАНС+"" г Гуково ул Лермонтова 53",-,1858
6790,Ростов-на-Дону,"ООО ""ШАНС+"" г Гуково ул Харьковских Красногвардейцев д 25",-,1859
6791,Ростов-на-Дону,"ООО ""Шолоховский хлеб"" Белокалитвенский р-он р п Шолоховский ул М Горького 2 А",-,1860
6792,Ростов-на-Дону,"ООО ""ЭВЕЛИНА"" х Ильичевка ул Победа Революции 25",-,1861
6793,Ростов-на-Дону,ОПЫТ ПКФ ООО,",г.Шахты,ул.Советская,173",1862
6794,Ростов-на-Дону,Орбита -М,-,1863
6795,Ростов-на-Дону,Орбита -М,"г.Батайск, Ушинского, 14/1",1863
6796,Ростов-на-Дону,Орбита -М,-,1863
6797,Ростов-на-Дону,Офелия ООО,-,1864
6798,Ростов-на-Дону,Офелия ООО,-,1864
6799,Ростов-на-Дону,Офелия ООО,"г.Ростов-на-Дону, ул.Тупалева 9а",1865
6800,Ростов-на-Дону,Павленко А.В. ИП (Кагальниц.р-н) №1,Кагальниц.рынок пал№3,0
6801,Ростов-на-Дону,Павленко А В ИП (Кагальниц р-н) №1,-,1866
6802,Ростов-на-Дону,Павленко А.В. ИП (Кагальниц.р-н) №2,Кагальниц.рынок пал№7,0
6803,Ростов-на-Дону,Павленко А В ИП (Кагальниц р-н) №2,-,1867
6804,Ростов-на-Дону,Павленко А.В. ИП (Кагальниц.р-н) №2,-,1867
6805,Ростов-на-Дону,Павленко А В ИП (Кагальниц р-н) №3,-,0
6806,Ростов-на-Дону,Павленко А.В. ИП (Кагальниц.р-н) №3,-,0
6807,Ростов-на-Дону,Павленко А.В. ИП (Кагальниц.р-н) №4,-,0
6808,Ростов-на-Дону,Павлова Н.И. ИП,-,0
6809,Ростов-на-Дону,Павлова Н И ИП,-,0
6810,Ростов-на-Дону,Павлова Н.И. ИП,"г.Ростов/Дон Космонавтов,5г",0
6811,Ростов-на-Дону,Панин А И ИП (40 лет 312),-,1868
6812,Ростов-на-Дону,Панин А.И. ИП (40 лет П 73/15),40 лет Победы 73/15,0
6813,Ростов-на-Дону,Панферов С В ИП,-,1869
6814,Ростов-на-Дону,Панферов С.В. ИП,-,1869
6815,Ростов-на-Дону,Панферов С.В. ИП,г.Ростов-на-Дону ул.Нагибина 57,0
6816,Ростов-на-Дону,Парасоцкий О.Ю ИП,"г.Ростов/Дон Таганрогская,90",1870
6817,Ростов-на-Дону,Парикян Б.С.,г.Ростов-на-Дону ул. Стабильная 9,0
6818,Ростов-на-Дону,Паукова Т Н ИП,-,1871
6819,Ростов-на-Дону,Паукова Т.Н. ИП,"г.Ростов/Дон ул. Казахская,11",0
6820,Ростов-на-Дону,Пащенко С Н ИП,-,1872
6821,Ростов-на-Дону,Пащенко С.Н. ИП,-,1872
6822,Ростов-на-Дону,Пащенко С.Н. ИП,"ст.Егорлыкская,ул.Грицика,12",1873
6823,Ростов-на-Дону,Петросян ИП,-,1874
6824,Ростов-на-Дону,Петросян ИП,"г.Батайск,Авиагородок",0
6825,Ростов-на-Дону,Печак И А ИП,-,1875
6826,Ростов-на-Дону,Пивнева С.Н.,г.Ростов/Дон ул. Социалистическая 74,1876
6827,Ростов-на-Дону,Пивнева С.Н. (Промышленная),Промышленная 12,1877
6828,Ростов-на-Дону,Письменская Л В ИП,-,1878
6829,Ростов-на-Дону,Планидина О.С. ИП (40 лет 37Ж),-,1879
6830,Ростов-на-Дону,Планидина О.С. ИП (40 лет 37Ж),40 лет Победы 37Ж,1879
6831,Ростов-на-Дону,Погосян А. А. ИП,г.Ростов/Дон ул.1-я Краснодарская 19а,0
6832,Ростов-на-Дону,Погосян А А ИП,-,0
6833,Ростов-на-Дону,Погосян В А,-,1880
6834,Ростов-на-Дону,Погребная Т.Ю. ИП,-,1881
6835,Ростов-на-Дону,Погребная Т Ю ИП,-,1881
6836,Ростов-на-Дону,Погребная Т.Ю. ИП,"344010, г. Ростов - на - Дону, пр. Ворошиловский 91/1",1882
6837,Ростов-на-Дону,Пономарева Г З ИП,-,0
6838,Ростов-на-Дону,Пономаренко А.П. ИП(Обсерваторная),-,1883
6839,Ростов-на-Дону,Приходько Д.Н. ИП,Аксайский р-н Садовое тов. Дружба,0
6840,Ростов-на-Дону,Приходько Д Н ИП,-,1884
6841,Ростов-на-Дону,Приходько Д.Н. ИП,-,1884
6842,Ростов-на-Дону,Прокопенко В.А.,г.Ростов-на-Дону ул.Калинина 25 в,0
6843,Ростов-на-Дону,Простор -1,г.Ростов-на-Дону ул.Вяземцева 58,295
6844,Ростов-на-Дону,ПРОФИТ ООО,-,1850
6845,Ростов-на-Дону,Прядкин П В,-,1885
6846,Ростов-на-Дону,Прядкин П.В.,"г.Ростов/Дон ул.Спартаковская,3",0
6847,Ростов-на-Дону,Пугаева Е В ИП №2,-,325
6848,Ростов-на-Дону,Пугаева Е.В. ИП №2,"344010, Ростов - на - Дону, пр. Ворошиловский, д. 91, кор. 1",1886
6849,Ростов-на-Дону,Пудова Е.С. ИП,-,1887
6850,Ростов-на-Дону,Пузанова К.В.ИП,Аксайский р-н п.Российский ул.Молодёжная 73,1888
6851,Ростов-на-Дону,Пузенко А.Н. ИП,"г.Ростов/Дон ул.Таганрог,141",0
6852,Ростов-на-Дону,Пустовит И Л ИП,-,0
6853,Ростов-на-Дону,Пустовит И.Л. ИП,-,0
6854,Ростов-на-Дону,Пустовит И.Л. ИП,г.Ростов-на-Дону ул.Вятская 47/1 пав. №33,0
6855,Ростов-на-Дону,Пушкарева С.В. ИП,"344019, г. ростов - на - Дону, пл. Театральная д.2",1889
6856,Ростов-на-Дону,Пушкарева С В ИП,-,1890
6857,Ростов-на-Дону,Пушкарева С.В. ИП,-,1890
6858,Ростов-на-Дону,РАТИКОМ ООО,-,0
6859,Ростов-на-Дону,Родионова Л.Л ИП,"Батайск Воровского,19",1891
6860,Ростов-на-Дону,Родионова Л Л ИП,-,1892
6861,Ростов-на-Дону,Романов Р Н ИП,-,156
6862,Ростов-на-Дону,Романов П.В. ИП,"г.Ростов-на-Дону, ул.Шеболдаева, 4 а",0
6863,Ростов-на-Дону,Росторгинвест А ООО (Кировский),-,1893
6864,Ростов-на-Дону,Русанов И В ИП,-,1039
6865,Ростов-на-Дону,Русанов И.В. ИП,-,1039
6866,Ростов-на-Дону,Русанов И.В. ИП,"г.Ростов-на-Дону, ул.Шолохова 292",0
6867,Ростов-на-Дону,Рыбин Роман Владимирович ИП (Аксай),-,1894
6868,Ростов-на-Дону,Саджио ООО,рынок Квадро,1895
6869,Ростов-на-Дону,Саджио ООО,-,1896
6870,Ростов-на-Дону,Саламов Г,-,1897
6871,Ростов-на-Дону,Самойлов М.А.,г.Ростов/Дон ул.Тульская 3,0
6872,Ростов-на-Дону,Самохина В.Н. ИП,-,0
6873,Ростов-на-Дону,Самохина В.Н. ИП,Московская 79,0
6874,Ростов-на-Дону,Самсонов Евгений Александрович ИП,-,1898
6875,Ростов-на-Дону,Самсонов Евгений Александрович ИП,"344064, Ростов-на-Дону, Инженерная, д. 3б/11а",1898
6876,Ростов-на-Дону,Санта ООО(Шеболд),-,1899
6877,Ростов-на-Дону,Сапунова ИП,г.Ростов\н\Д.ул.Менжинского 2,1900
6878,Ростов-на-Дону,Сараев В А ИП (Николаевский),-,1048
6879,Ростов-на-Дону,Сараев В.А. ИП (Николаевский),-,1048
6880,Ростов-на-Дону,Сараев В.А. ИП (Николаевский),Николаевский рынок,1048
6881,Ростов-на-Дону,Сараев В А ИП (Петровская),-,1049
6882,Ростов-на-Дону,Сараев В.А. ИП (Петровская),-,1049
6883,Ростов-на-Дону,Сараев В.А. ИП (Петровская),Петровская рынок,0
6884,Ростов-на-Дону,Сараев В А ИП (Русское поле),-,1050
6885,Ростов-на-Дону,Саркисян С С,-,1901
6886,Ростов-на-Дону,Саркисян С.А.,г.Ростов-на-Дону Забайкальский 4,1902
6887,Ростов-на-Дону,Свиридова Л А ИП,-,1903
6888,Ростов-на-Дону,Свиридова Л.А. ИП,-,1903
6889,Ростов-на-Дону,Севаторова Н.П. ИП,"344090, г. Ростов - на - Дону, ул. Доватора, д. 150",1904
6890,Ростов-на-Дону,Севаторова Н П ИП,-,1905
6891,Ростов-на-Дону,Севаторова Н.П. ИП,-,1905
6892,Ростов-на-Дону,Севаторова Н.П. ИП (Фаворит),-,1906
6893,Ростов-на-Дону,Севаторова Н П ИП (Фаворит),-,1906
6894,Ростов-на-Дону,Севаторова Н.П. ИП (Фаворит),"346900, г. Новошахтинск, ул. Базарная, д. 24, кор. б",1907
6895,Ростов-на-Дону,Севостьянов Н.Н. ИП,"Витязево, ул. Горького, 25 Б, м-н ""Олимп""",1908
6896,Ростов-на-Дону,Севостьянов Н Н ИП,-,1909
6897,Ростов-на-Дону,Семенцова Н.П. ИП,"г Аксай Казачья,56",1910
6898,Ростов-на-Дону,Семенцова Н П ИП,-,1911
6899,Ростов-на-Дону,Семенцова Н.П. ИП,-,1911
6900,Ростов-на-Дону,Семионов А Н ИП,-,1912
6901,Ростов-на-Дону,Семионов А.Н. ИП,-,1912
6902,Ростов-на-Дону,Семионов А.Н. ИП,г.Ростов-на-Дону Можайская 38/1,0
6903,Ростов-на-Дону,Серикова М А ИП,-,0
6904,Ростов-на-Дону,Серикова М.А. ИП,"г.Ростов-на-Дону,ул.Орбитальная,88/1",0
6905,Ростов-на-Дону,Сигов А Б ИП №1,-,1913
6906,Ростов-на-Дону,Сигов А.Б. ИП №1,-,1913
6907,Ростов-на-Дону,Сигов А.Б. ИП №1,Новочеркасск рынок склад №1,1914
6908,Ростов-на-Дону,Сигов А.Б. ИП №2,Новочеркасск рынок склад №2,1915
6909,Ростов-на-Дону,Сигов А Б ИП №2,-,1916
6910,Ростов-на-Дону,Сигов А.Б. ИП №2,-,1916
6911,Ростов-на-Дону,Сигов А.Б. ИП №3,Новочеркасск рынок склад №3,1917
6912,Ростов-на-Дону,Сигов А Б ИП №3,-,1918
6913,Ростов-на-Дону,Сигов А.Б. ИП №3,-,1918
6914,Ростов-на-Дону,Сигов А.Б. ИП №4,Новочеркасск рынок склад №4,1919
6915,Ростов-на-Дону,Сигов А Б ИП №4,-,1920
6916,Ростов-на-Дону,Сигов А.Б. ИП №4,-,1920
6917,Ростов-на-Дону,Сигов А.Б. ИП №5,Новочеркасск рынок склад №5,1921
6918,Ростов-на-Дону,Сигов А Б ИП №5,-,1922
6919,Ростов-на-Дону,Сигов А.Б. ИП №5,-,1922
6920,Ростов-на-Дону,Сиденко А В ИП,-,1923
6921,Ростов-на-Дону,Сиденко А.В. ИП,"г. Ростов-на-Дону, пер. Братский 48\19",0
6922,Ростов-на-Дону,Симонян А.Ю ИП,г.Ростов-на-Дону ул.Королёва 1,0
6923,Ростов-на-Дону,Синицин С Н,-,1924
6924,Ростов-на-Дону,Синицин С.Н.,-,1925
6925,Ростов-на-Дону,ИП Скрипчинский А В г Шахты Центр рынок (привоз),-,1926
6926,Ростов-на-Дону,Славин Е А,-,1927
6927,Ростов-на-Дону,Славин Е.А.,"г.Ростов-на-Дону, Станиславского 100",0
6928,Ростов-на-Дону,Славин Е.А.,-,1927
6929,Ростов-на-Дону,Слизкина М.Н. ИП(№2),г.Ростов-на-Дону ул.Калинина 25 в,0
6930,Ростов-на-Дону,Смольникова Р.М.,г.Ростов-на-Дону Космонавтов 30/22,1928
6931,Ростов-на-Дону,Снедь ООО,"г.Зерноград,пер.Селекционный,13а",1068
6932,Ростов-на-Дону,Солииз ООО,Королева 32,1929
6933,Ростов-на-Дону,Солииз ООО,-,1930
6934,Ростов-на-Дону,Солииз ООО,-,1930
6935,Ростов-на-Дону,Солодунова А.Ю. ИП,г.Ростов-на-Дону пер.Авиамоторный 13,0
6936,Ростов-на-Дону,Союз -2006 ООО,"Северный рынок, остров напротив Пекарни",1931
6937,Ростов-на-Дону,Союз -2006 ООО,-,1079
6938,Ростов-на-Дону,Союз -2006 ООО,-,1079
6939,Ростов-на-Дону,СПК АФ Новобатайская,Новобатайская 8,1932
6940,Ростов-на-Дону,СПК АФ Новобатайская,-,1933
6941,Ростов-на-Дону,СПК АФ Новобатайская,-,1933
6942,Ростов-на-Дону,Старк ИП,Космонавтов 32,1934
6943,Ростов-на-Дону,Старк ИП,-,1935
6944,Ростов-на-Дону,Старк ИП,-,1935
6945,Ростов-на-Дону,Старт (Стартовая),-,1936
6946,Ростов-на-Дону,Старт (Стартовая),Стартовая 9,1937
6947,Ростов-на-Дону,Старт (Стартовая),-,1936
6948,Ростов-на-Дону,Старт ООО (Днепров),-,1938
6949,Ростов-на-Дону,Старт ООО (Днепров),Днепровский 13,1938
6950,Ростов-на-Дону,Старт ООО (Днепров),-,1938
6951,Ростов-на-Дону,Степанов В А ИП,-,1939
6952,Ростов-на-Дону,Степанов В.А. ИП,"г.Ростов-на-Дону,ул.Подтелково 1/76",0
6953,Ростов-на-Дону,Степанов М В ИП,-,1940
6954,Ростов-на-Дону,Стешенко Н П ИП,-,1941
6955,Ростов-на-Дону,Столяров С.,г.Ростов-на-Дону пер.Жлобинский 21,1942
6956,Ростов-на-Дону,Столяров С.,-,1942
6957,Ростов-на-Дону,Строителева М М ИП,-,159
6958,Ростов-на-Дону,Сургучева Н Н ИП,-,1096
6959,Ростов-на-Дону,Сургучева Н.Н. ИП,-,1096
6960,Ростов-на-Дону,Сургучева Н.Н. ИП,"г.Ростов-на-Дону. ул. Портовая, 419",0
6961,Ростов-на-Дону,Суркичанов В.Н,г.Ростов-на-Дону пр.Стачки 11а,0
6962,Ростов-на-Дону,Сушко Ю.С. ИП,11 линия 23,1943
6963,Ростов-на-Дону,Сушко Ю С ИП,-,1944
6964,Ростов-на-Дону,Сушко Ю.С. ИП,-,1944
6965,Ростов-на-Дону,СФЕРА-М ООО,г.Ростов-на-Дону пр.Шолохова 193,1945
6966,Ростов-на-Дону,Сюнякова Г А ИП,-,1946
6967,Ростов-на-Дону,Сюнякова Г.А. ИП,-,1946
6968,Ростов-на-Дону,Сюнякова Г.А. ИП,Таганрожское ш106,1947
6969,Ростов-на-Дону,Тагаков А.В. ИП,Береговая 4,1102
6970,Ростов-на-Дону,Тележникова Ольга Анатольевна ИП,-,1948
6971,Ростов-на-Дону,"ИП Тенчурина Е А х Пиховкин ул Центральная 53 маг ""Алина""",-,1949
6972,Ростов-на-Дону,ТЕРРА ООО ( 2-я Краснодар ),-,1950
6973,Ростов-на-Дону,ТЕРРА ООО ( 2-я Краснодар.),-,1950
6974,Ростов-на-Дону,ТЕРРА ООО (Жмайл.),-,1119
6975,Ростов-на-Дону,Тимохова Ю С ИП,-,1951
6976,Ростов-на-Дону,Тимохова Ю.С. ИП,-,1951
6977,Ростов-на-Дону,Тимохова Ю.С. ИП,"347740, Ростовская область, г. Зерноград, пер. Селекционный, д. 13, кор. а",1952
6978,Ростов-на-Дону,Ткачев В.П. ИП,"г. Ростов-на-Дону, пер. Строительный, 36а",0
6979,Ростов-на-Дону,Ткачев В П ИП,-,163
6980,Ростов-на-Дону,Ткачев В.П. ИП,-,163
6981,Ростов-на-Дону,ТОНУС-С ООО,-,1953
6982,Ростов-на-Дону,Тригуб А Б ИП,-,1954
6983,Ростов-на-Дону,Тригуб А.Б. ИП,-,1954
6984,Ростов-на-Дону,Тригуб А.Б. ИП,ул. Станиславского 69,1954
6985,Ростов-на-Дону,ТС ООО,-,1955
6986,Ростов-на-Дону,Тугуши Г.В. ИП,г.Ростов-на-Дону. ул.Мечникова 75,0
6987,Ростов-на-Дону,Тунян К.А. ИП,".г.Белая Калитва, ул.Энгелься 47,",1956
6988,Ростов-на-Дону,Тунян К.А. ИП,-,1957
6989,Ростов-на-Дону,Туравцев С В ИП,-,1958
6990,Ростов-на-Дону,Туравцев С.В. ИП,"347902, Ростовская область, г. Таганрог, Николаевское ш., д. 1, кор. 1",1959
6991,Ростов-на-Дону,Туравцев С.В. ИП (№2),"г. Новочеркасск, ул. Магистральная, д. 20, кв. 5",1960
6992,Ростов-на-Дону,Туравцев С В ИП (№2),-,1961
6993,Ростов-на-Дону,Туравцев С.В. ИП,-,1958
6994,Ростов-на-Дону,Туравцев С.В. ИП (№2),-,1961
